date,transfers_in,ward_occupancy_start_of_day,ed_census_prior_evening,day_of_week,month,is_holiday,avg_ed_wait_time_hrs
2012-02-22,3.0,0.857,107.0,Wednesday,2,False,2.5
2012-02-23,,0.821,131.0,Thursday,2,False,2.5
2012-02-24,2.0,0.857,94.0,Friday,2,False,2.6
2012-02-25,3.0,0.929,115.0,Saturday,2,False,4.0
2012-02-26,4.0,1.0,141.0,Sunday,2,False,5.1
2012-02-27,0.0,0.929,61.0,Monday,2,False,3.6
2012-02-28,0.0,0.786,89.0,Tuesday,2,False,4.2
2012-02-29,1.0,0.821,,Wednesday,2,False,3.9
2012-03-01,2.0,1.036,106.0,Thursday,3,False,3.3
2012-03-02,0.0,0.964,96.0,Friday,3,False,3.3
2012-03-03,0.0,0.964,74.0,Saturday,3,False,0.5
2012-03-04,0.0,0.857,79.0,Sunday,3,False,3.9
2012-03-05,2.0,0.857,100.0,Monday,3,False,3.9
2012-03-06,1.0,0.893,71.0,Tuesday,3,False,2.4
2012-03-07,3.0,0.929,118.0,Wednesday,3,False,3.5
2012-03-08,5.0,1.071,110.0,Thursday,3,False,5.0
2012-03-09,0.0,1.036,94.0,Friday,3,False,4.0
2012-03-10,0.0,1.107,,Saturday,3,False,4.9
2012-03-11,2.0,1.107,112.0,Sunday,3,False,6.3
2012-03-12,1.0,0.964,81.0,Monday,3,False,3.4
2012-03-13,3.0,0.929,87.0,Tuesday,3,False,3.4
2012-03-14,1.0,0.821,107.0,Wednesday,3,False,5.1
2012-03-15,2.0,0.786,95.0,Thursday,3,False,
2012-03-16,0.0,0.75,83.0,Friday,3,False,5.6
2012-03-17,1.0,0.643,86.0,Saturday,3,False,3.6
2012-03-18,1.0,0.679,101.0,Sunday,3,False,7.2
2012-03-19,0.0,0.607,71.0,Monday,3,False,1.3
2012-03-20,1.0,0.536,98.0,Tuesday,3,False,4.3
2012-03-21,1.0,0.643,74.0,Wednesday,3,False,3.1
2012-03-22,1.0,0.75,97.0,Thursday,3,False,4.9
2012-03-23,1.0,0.786,86.0,Friday,3,False,4.4
2012-03-24,2.0,0.786,112.0,Saturday,3,False,3.1
2012-03-25,1.0,0.821,82.0,Sunday,3,False,4.3
2012-03-26,3.0,0.893,137.0,Monday,3,False,6.1
2012-03-27,2.0,0.857,104.0,Tuesday,3,False,3.5
2012-03-28,3.0,0.964,98.0,Wednesday,3,False,4.3
2012-03-29,4.0,1.107,132.0,Thursday,3,False,4.1
2012-03-30,2.0,1.071,102.0,Friday,3,False,5.4
2012-03-31,0.0,1.0,89.0,Saturday,3,False,2.7
2012-04-01,0.0,0.964,63.0,Sunday,4,False,2.4
2012-04-02,0.0,0.964,53.0,Monday,4,False,3.4
2012-04-03,0.0,0.857,48.0,Tuesday,4,False,4.9
2012-04-04,3.0,0.857,89.0,Wednesday,4,False,4.3
2012-04-05,0.0,0.821,45.0,Thursday,4,False,3.8
2012-04-06,1.0,0.821,36.0,Friday,4,True,1.3
2012-04-07,0.0,0.786,62.0,Saturday,4,False,2.0
2012-04-08,0.0,0.643,68.0,Sunday,4,True,3.7
2012-04-09,2.0,0.679,81.0,Monday,4,True,0.5
2012-04-10,1.0,0.536,68.0,Tuesday,4,False,4.8
2012-04-11,1.0,0.5,80.0,Wednesday,4,False,4.7
2012-04-12,0.0,0.536,55.0,Thursday,4,False,0.9
2012-04-13,2.0,0.5,85.0,Friday,4,False,5.0
2012-04-14,0.0,0.464,45.0,Saturday,4,False,1.6
2012-04-15,3.0,0.679,70.0,Sunday,4,False,3.7
2012-04-16,4.0,0.679,100.0,Monday,4,False,5.1
2012-04-17,1.0,0.714,96.0,Tuesday,4,False,5.2
2012-04-18,3.0,0.786,72.0,Wednesday,4,False,2.0
2012-04-19,2.0,0.75,80.0,Thursday,4,False,3.5
2012-04-20,2.0,0.857,89.0,Friday,4,False,4.1
2012-04-21,0.0,0.893,46.0,Saturday,4,False,
2012-04-22,3.0,0.964,98.0,Sunday,4,False,4.8
2012-04-23,3.0,1.071,89.0,Monday,4,False,4.2
2012-04-24,1.0,1.0,73.0,Tuesday,4,False,4.3
2012-04-25,3.0,1.071,100.0,Wednesday,4,False,3.5
2012-04-26,2.0,1.179,88.0,Thursday,4,False,3.8
2012-04-27,0.0,1.143,55.0,Friday,4,True,2.3
2012-04-28,0.0,1.036,53.0,Saturday,4,False,0.4
2012-04-29,1.0,0.893,72.0,Sunday,4,False,3.8
2012-04-30,3.0,0.929,83.0,Monday,4,False,4.7
2012-05-01,4.0,1.036,99.0,Tuesday,5,False,3.5
2012-05-02,2.0,0.893,69.0,Wednesday,5,False,3.7
2012-05-03,1.0,0.857,77.0,Thursday,5,False,2.6
2012-05-04,1.0,0.857,79.0,Friday,5,False,3.7
2012-05-05,2.0,0.857,85.0,Saturday,5,False,6.5
2012-05-06,1.0,0.893,73.0,Sunday,5,False,2.4
2012-05-07,2.0,0.857,83.0,Monday,5,False,0.8
2012-05-08,0.0,0.714,60.0,Tuesday,5,False,2.0
2012-05-09,1.0,0.679,69.0,Wednesday,5,False,4.2
2012-05-10,0.0,0.643,58.0,Thursday,5,False,2.8
2012-05-11,1.0,0.679,62.0,Friday,5,False,2.8
2012-05-12,0.0,0.679,55.0,Saturday,5,False,2.7
2012-05-13,1.0,0.607,65.0,Sunday,5,False,5.0
2012-05-14,2.0,0.607,72.0,Monday,5,False,3.2
2012-05-15,0.0,0.607,47.0,Tuesday,5,False,0.7
2012-05-16,1.0,0.571,61.0,Wednesday,5,False,2.8
2012-05-17,0.0,0.571,,Thursday,5,True,
2012-05-18,0.0,0.5,66.0,Friday,5,False,3.8
2012-05-19,1.0,0.536,58.0,Saturday,5,False,2.5
2012-05-20,3.0,0.607,53.0,Sunday,5,False,3.1
2012-05-21,4.0,0.679,119.0,Monday,5,False,4.2
2012-05-22,0.0,0.607,57.0,Tuesday,5,False,4.1
2012-05-23,1.0,0.607,62.0,Wednesday,5,False,2.9
2012-05-24,1.0,0.571,71.0,Thursday,5,False,1.5
2012-05-25,0.0,0.536,52.0,Friday,5,False,1.2
2012-05-26,3.0,,75.0,Saturday,5,False,5.0
2012-05-27,2.0,0.75,61.0,Sunday,5,True,3.0
2012-05-28,,0.929,123.0,Monday,5,True,4.6
2012-05-29,2.0,0.929,79.0,Tuesday,5,False,2.2
2012-05-30,0.0,0.857,,Wednesday,5,False,3.5
2012-05-31,2.0,0.786,70.0,Thursday,5,False,1.7
2012-06-01,0.0,0.679,45.0,Friday,6,False,2.6
2012-06-02,0.0,0.643,53.0,Saturday,6,False,4.7
2012-06-03,3.0,0.786,83.0,Sunday,6,False,2.8
2012-06-04,2.0,0.714,86.0,Monday,6,False,2.2
2012-06-05,4.0,0.893,100.0,Tuesday,6,False,3.8
2012-06-06,2.0,0.964,48.0,Wednesday,6,False,4.6
2012-06-07,2.0,1.0,49.0,Thursday,6,False,1.1
2012-06-08,0.0,1.0,30.0,Friday,6,False,0.4
2012-06-09,0.0,0.893,37.0,Saturday,6,False,3.0
2012-06-10,2.0,0.857,63.0,Sunday,6,False,2.8
2012-06-11,3.0,0.821,37.0,Monday,6,False,1.4
2012-06-12,1.0,0.821,29.0,Tuesday,6,False,1.2
2012-06-13,0.0,0.75,50.0,Wednesday,6,False,0.4
2012-06-14,0.0,0.75,81.0,Thursday,6,False,6.2
2012-06-15,2.0,0.679,69.0,Friday,6,False,2.2
2012-06-16,1.0,0.643,37.0,Saturday,6,False,2.4
2012-06-17,0.0,0.429,51.0,Sunday,6,False,0.4
2012-06-18,1.0,0.464,69.0,Monday,6,False,4.2
2012-06-19,0.0,0.393,56.0,Tuesday,6,False,4.1
2012-06-20,1.0,0.393,46.0,Wednesday,6,False,1.2
2012-06-21,2.0,,,Thursday,6,False,4.0
2012-06-22,2.0,0.5,55.0,Friday,6,False,1.7
2012-06-23,2.0,0.5,53.0,Saturday,6,False,4.6
2012-06-24,3.0,0.607,76.0,Sunday,6,False,4.0
2012-06-25,1.0,0.679,57.0,Monday,6,False,4.0
2012-06-26,0.0,,56.0,Tuesday,6,False,6.5
2012-06-27,1.0,0.679,54.0,Wednesday,6,False,3.8
2012-06-28,2.0,0.714,57.0,Thursday,6,False,2.5
2012-06-29,1.0,0.679,28.0,Friday,6,False,2.1
2012-06-30,1.0,0.679,50.0,Saturday,6,False,3.1
2012-07-01,1.0,0.714,59.0,Sunday,7,False,4.1
2012-07-02,4.0,0.786,72.0,Monday,7,False,4.1
2012-07-03,2.0,0.929,74.0,Tuesday,7,False,5.3
2012-07-04,2.0,1.0,57.0,Wednesday,7,False,1.7
2012-07-05,,1.0,56.0,Thursday,7,False,
2012-07-06,2.0,1.0,66.0,Friday,7,False,3.6
2012-07-07,1.0,0.857,51.0,Saturday,7,False,4.4
2012-07-08,1.0,0.75,48.0,Sunday,7,False,1.7
2012-07-09,1.0,0.75,74.0,Monday,7,False,3.3
2012-07-10,2.0,0.857,49.0,Tuesday,7,False,2.9
2012-07-11,3.0,0.893,82.0,Wednesday,7,False,3.1
2012-07-12,1.0,0.857,74.0,Thursday,7,False,4.8
2012-07-13,2.0,0.893,63.0,Friday,7,False,4.1
2012-07-14,2.0,0.857,57.0,Saturday,7,False,3.3
2012-07-15,2.0,1.0,99.0,Sunday,7,False,4.1
2012-07-16,,1.071,65.0,Monday,7,False,3.5
2012-07-17,0.0,0.929,28.0,Tuesday,7,False,2.5
2012-07-18,3.0,0.964,76.0,Wednesday,7,False,2.7
2012-07-19,1.0,,65.0,Thursday,7,False,2.8
2012-07-20,1.0,0.786,57.0,Friday,7,False,1.9
2012-07-21,2.0,0.786,67.0,Saturday,7,False,3.3
2012-07-22,1.0,0.75,49.0,Sunday,7,False,0.4
2012-07-23,1.0,0.75,56.0,Monday,7,False,2.2
2012-07-24,2.0,0.857,48.0,Tuesday,7,False,2.2
2012-07-25,2.0,0.821,53.0,Wednesday,7,False,0.4
2012-07-26,2.0,0.75,51.0,Thursday,7,False,2.2
2012-07-27,0.0,0.714,52.0,Friday,7,False,0.6
2012-07-28,4.0,0.857,72.0,Saturday,7,False,0.7
2012-07-29,3.0,0.893,78.0,Sunday,7,False,2.6
2012-07-30,1.0,0.929,71.0,Monday,7,False,3.6
2012-07-31,0.0,0.786,38.0,Tuesday,7,False,3.9
2012-08-01,0.0,0.607,32.0,Wednesday,8,False,0.4
2012-08-02,2.0,0.571,69.0,Thursday,8,False,1.8
2012-08-03,0.0,,28.0,Friday,8,False,0.4
2012-08-04,2.0,0.393,54.0,Saturday,8,False,0.4
2012-08-05,1.0,0.464,49.0,Sunday,8,False,
2012-08-06,1.0,0.429,44.0,Monday,8,False,2.1
2012-08-07,2.0,0.464,76.0,Tuesday,8,False,5.2
2012-08-08,1.0,0.536,37.0,Wednesday,8,False,1.5
2012-08-09,0.0,0.464,36.0,Thursday,8,False,0.5
2012-08-10,,0.643,60.0,Friday,8,False,2.1
2012-08-11,1.0,0.643,64.0,Saturday,8,False,3.5
2012-08-12,1.0,0.643,78.0,Sunday,8,False,3.4
2012-08-13,2.0,0.607,,Monday,8,False,4.3
2012-08-14,1.0,0.607,51.0,Tuesday,8,False,1.3
2012-08-15,1.0,0.643,70.0,Wednesday,8,False,1.8
2012-08-16,1.0,0.679,56.0,Thursday,8,False,2.3
2012-08-17,0.0,0.679,32.0,Friday,8,False,2.5
2012-08-18,2.0,0.571,82.0,Saturday,8,False,4.0
2012-08-19,1.0,0.643,61.0,Sunday,8,False,2.0
2012-08-20,1.0,0.571,56.0,Monday,8,False,2.1
2012-08-21,2.0,0.536,73.0,Tuesday,8,False,4.7
2012-08-22,3.0,0.643,95.0,Wednesday,8,False,2.8
2012-08-23,1.0,0.714,52.0,Thursday,8,False,0.4
2012-08-24,2.0,0.714,69.0,Friday,8,False,5.1
2012-08-25,4.0,0.786,87.0,Saturday,8,False,2.1
2012-08-26,2.0,0.893,66.0,Sunday,8,False,1.0
2012-08-27,3.0,0.893,68.0,Monday,8,False,3.6
2012-08-28,1.0,0.964,73.0,Tuesday,8,False,4.4
2012-08-29,3.0,1.0,62.0,Wednesday,8,False,3.0
2012-08-30,2.0,0.964,72.0,Thursday,8,False,2.2
2012-08-31,0.0,0.929,39.0,Friday,8,False,2.4
2012-09-01,0.0,0.857,50.0,Saturday,9,False,2.2
2012-09-02,2.0,0.893,62.0,Sunday,9,False,3.3
2012-09-03,2.0,0.929,73.0,Monday,9,False,4.0
2012-09-04,2.0,0.893,50.0,Tuesday,9,False,5.3
2012-09-05,0.0,0.786,51.0,Wednesday,9,False,3.9
2012-09-06,1.0,0.75,62.0,Thursday,9,False,1.7
2012-09-07,2.0,0.893,77.0,Friday,9,False,2.7
2012-09-08,1.0,0.821,,Saturday,9,False,1.4
2012-09-09,2.0,0.857,72.0,Sunday,9,False,1.9
2012-09-10,3.0,0.893,89.0,Monday,9,False,3.1
2012-09-11,1.0,0.857,68.0,Tuesday,9,False,4.7
2012-09-12,3.0,0.821,100.0,Wednesday,9,False,2.8
2012-09-13,1.0,0.857,76.0,Thursday,9,False,
2012-09-14,0.0,0.786,70.0,Friday,9,False,2.6
2012-09-15,1.0,0.75,72.0,Saturday,9,False,5.7
2012-09-16,1.0,0.679,80.0,Sunday,9,False,4.5
2012-09-17,0.0,0.536,63.0,Monday,9,False,3.3
2012-09-18,0.0,0.429,71.0,Tuesday,9,False,3.8
2012-09-19,,0.536,101.0,Wednesday,9,False,3.1
2012-09-20,0.0,0.464,73.0,Thursday,9,False,2.3
2012-09-21,0.0,0.429,46.0,Friday,9,False,2.3
2012-09-22,3.0,0.5,78.0,Saturday,9,False,4.1
2012-09-23,1.0,0.607,43.0,Sunday,9,False,3.1
2012-09-24,3.0,0.643,96.0,Monday,9,False,5.1
2012-09-25,1.0,0.75,52.0,Tuesday,9,False,2.5
2012-09-26,0.0,0.75,56.0,Wednesday,9,False,2.4
2012-09-27,2.0,0.821,64.0,Thursday,9,False,0.6
2012-09-28,1.0,0.786,74.0,Friday,9,False,3.2
2012-09-29,1.0,0.786,82.0,Saturday,9,False,1.9
2012-09-30,1.0,0.607,61.0,Sunday,9,False,3.8
2012-10-01,2.0,0.679,82.0,Monday,10,False,4.5
2012-10-02,2.0,0.643,89.0,Tuesday,10,False,5.1
2012-10-03,2.0,0.714,53.0,Wednesday,10,False,3.7
2012-10-04,1.0,0.75,73.0,Thursday,10,False,2.7
2012-10-05,0.0,0.75,65.0,Friday,10,False,3.2
2012-10-06,2.0,0.821,68.0,Saturday,10,False,2.4
2012-10-07,0.0,0.75,57.0,Sunday,10,False,2.3
2012-10-08,1.0,,69.0,Monday,10,False,1.6
2012-10-09,,0.714,77.0,Tuesday,10,False,5.2
2012-10-10,2.0,0.821,78.0,Wednesday,10,False,4.5
2012-10-11,2.0,0.929,93.0,Thursday,10,False,3.9
2012-10-12,0.0,0.75,56.0,Friday,10,False,2.0
2012-10-13,0.0,,58.0,Saturday,10,False,2.3
2012-10-14,1.0,1.036,63.0,Sunday,10,False,2.4
2012-10-15,3.0,1.143,106.0,Monday,10,False,4.6
2012-10-16,0.0,,58.0,Tuesday,10,False,3.2
2012-10-17,0.0,0.964,46.0,Wednesday,10,False,3.0
2012-10-18,1.0,0.714,66.0,Thursday,10,False,1.0
2012-10-19,1.0,0.821,82.0,Friday,10,False,3.1
2012-10-20,2.0,0.786,72.0,Saturday,10,False,1.6
2012-10-21,1.0,0.786,49.0,Sunday,10,False,1.8
2012-10-22,1.0,0.821,52.0,Monday,10,False,2.3
2012-10-23,3.0,0.893,84.0,Tuesday,10,False,2.5
2012-10-24,1.0,0.893,40.0,Wednesday,10,False,1.9
2012-10-25,0.0,0.786,61.0,Thursday,10,False,3.0
2012-10-26,0.0,0.643,37.0,Friday,10,False,3.4
2012-10-27,1.0,0.607,87.0,Saturday,10,False,4.7
2012-10-28,3.0,0.571,95.0,Sunday,10,False,5.4
2012-10-29,2.0,,58.0,Monday,10,False,3.5
2012-10-30,3.0,0.75,101.0,Tuesday,10,False,5.4
2012-10-31,1.0,0.714,56.0,Wednesday,10,False,
2012-11-01,2.0,0.75,86.0,Thursday,11,False,5.0
2012-11-02,1.0,0.75,95.0,Friday,11,False,3.4
2012-11-03,0.0,0.679,64.0,Saturday,11,False,3.1
2012-11-04,0.0,0.75,81.0,Sunday,11,False,1.4
2012-11-05,0.0,0.679,102.0,Monday,11,False,3.1
2012-11-06,1.0,0.536,113.0,Tuesday,11,False,6.6
2012-11-07,1.0,0.571,81.0,Wednesday,11,False,2.5
2012-11-08,1.0,0.643,89.0,Thursday,11,False,3.4
2012-11-09,1.0,0.571,60.0,Friday,11,False,4.3
2012-11-10,2.0,0.643,104.0,Saturday,11,False,6.1
2012-11-11,1.0,0.607,69.0,Sunday,11,False,3.9
2012-11-12,1.0,0.643,97.0,Monday,11,False,5.1
2012-11-13,1.0,0.643,82.0,Tuesday,11,False,4.6
2012-11-14,0.0,0.571,93.0,Wednesday,11,False,3.7
2012-11-15,0.0,0.643,87.0,Thursday,11,False,1.4
2012-11-16,2.0,0.643,98.0,Friday,11,False,3.6
2012-11-17,0.0,0.607,82.0,Saturday,11,False,3.6
2012-11-18,0.0,0.607,80.0,Sunday,11,False,4.1
2012-11-19,1.0,0.607,91.0,Monday,11,False,3.4
2012-11-20,2.0,0.679,87.0,Tuesday,11,False,1.5
2012-11-21,2.0,0.679,100.0,Wednesday,11,False,5.0
2012-11-22,2.0,0.679,73.0,Thursday,11,False,2.2
2012-11-23,3.0,0.75,97.0,Friday,11,False,4.6
2012-11-24,1.0,0.786,108.0,Saturday,11,False,7.9
2012-11-25,,0.786,87.0,Sunday,11,False,3.1
2012-11-26,1.0,0.786,96.0,Monday,11,False,3.8
2012-11-27,0.0,0.857,104.0,Tuesday,11,False,3.5
2012-11-28,3.0,0.893,106.0,Wednesday,11,False,4.0
2012-11-29,4.0,1.036,119.0,Thursday,11,False,5.0
2012-11-30,2.0,1.0,97.0,Friday,11,False,2.5
2012-12-01,1.0,0.964,77.0,Saturday,12,False,3.1
2012-12-02,2.0,1.0,94.0,Sunday,12,False,6.0
2012-12-03,1.0,1.071,72.0,Monday,12,False,4.0
2012-12-04,1.0,1.143,97.0,Tuesday,12,False,5.8
2012-12-05,1.0,1.214,84.0,Wednesday,12,False,2.4
2012-12-06,,1.286,91.0,Thursday,12,False,4.4
2012-12-07,3.0,1.286,88.0,Friday,12,False,4.2
2012-12-08,2.0,1.286,109.0,Saturday,12,False,4.3
2012-12-09,,1.214,83.0,Sunday,12,False,4.1
2012-12-10,1.0,1.107,91.0,Monday,12,False,2.6
2012-12-11,0.0,1.0,71.0,Tuesday,12,False,1.0
2012-12-12,3.0,1.071,113.0,Wednesday,12,False,2.9
2012-12-13,1.0,1.107,73.0,Thursday,12,False,5.0
2012-12-14,2.0,1.214,97.0,Friday,12,False,4.0
2012-12-15,1.0,1.179,96.0,Saturday,12,False,3.0
2012-12-16,3.0,1.071,103.0,Sunday,12,False,7.0
2012-12-17,3.0,1.071,105.0,Monday,12,False,6.6
2012-12-18,2.0,1.036,92.0,Tuesday,12,False,3.7
2012-12-19,1.0,1.107,94.0,Wednesday,12,False,6.2
2012-12-20,2.0,1.036,115.0,Thursday,12,False,1.9
2012-12-21,1.0,1.0,94.0,Friday,12,False,3.2
2012-12-22,3.0,1.071,110.0,Saturday,12,False,5.1
2012-12-23,2.0,0.964,89.0,Sunday,12,False,3.4
2012-12-24,2.0,1.036,86.0,Monday,12,False,4.6
2012-12-25,2.0,0.929,111.0,Tuesday,12,True,5.9
2012-12-26,0.0,0.821,82.0,Wednesday,12,True,3.1
2012-12-27,3.0,0.929,119.0,Thursday,12,False,5.0
2012-12-28,0.0,0.821,60.0,Friday,12,False,3.2
2012-12-29,2.0,0.893,89.0,Saturday,12,False,2.5
2012-12-30,0.0,0.857,96.0,Sunday,12,False,5.6
2012-12-31,0.0,0.786,65.0,Monday,12,False,2.6
2013-01-01,0.0,0.75,85.0,Tuesday,1,True,2.8
2013-01-02,2.0,0.821,72.0,Wednesday,1,False,3.7
2013-01-03,1.0,0.786,87.0,Thursday,1,False,1.4
2013-01-04,1.0,0.679,84.0,Friday,1,False,3.2
2013-01-05,2.0,0.786,107.0,Saturday,1,False,3.4
2013-01-06,,0.75,92.0,Sunday,1,False,4.7
2013-01-07,2.0,0.857,108.0,Monday,1,False,5.4
2013-01-08,1.0,0.857,96.0,Tuesday,1,False,6.3
2013-01-09,,0.929,101.0,Wednesday,1,False,3.6
2013-01-10,1.0,0.893,94.0,Thursday,1,False,5.1
2013-01-11,4.0,0.964,130.0,Friday,1,False,6.6
2013-01-12,2.0,0.893,94.0,Saturday,1,False,2.7
2013-01-13,2.0,0.929,102.0,Sunday,1,False,5.3
2013-01-14,2.0,0.964,86.0,Monday,1,False,4.7
2013-01-15,1.0,0.929,90.0,Tuesday,1,False,4.1
2013-01-16,0.0,0.929,88.0,Wednesday,1,False,2.8
2013-01-17,,0.857,87.0,Thursday,1,False,3.4
2013-01-18,2.0,0.821,121.0,Friday,1,False,5.5
2013-01-19,3.0,0.821,109.0,Saturday,1,False,3.2
2013-01-20,1.0,0.821,,Sunday,1,False,4.2
2013-01-21,1.0,0.786,105.0,Monday,1,False,3.9
2013-01-22,3.0,0.893,110.0,Tuesday,1,False,3.2
2013-01-23,3.0,0.857,110.0,Wednesday,1,False,5.8
2013-01-24,0.0,0.679,78.0,Thursday,1,False,4.4
2013-01-25,2.0,0.75,107.0,Friday,1,False,3.1
2013-01-26,0.0,0.786,87.0,Saturday,1,False,3.8
2013-01-27,2.0,0.679,105.0,Sunday,1,False,5.0
2013-01-28,1.0,0.75,107.0,Monday,1,False,3.7
2013-01-29,,0.75,88.0,Tuesday,1,False,3.7
2013-01-30,3.0,0.786,110.0,Wednesday,1,False,4.5
2013-01-31,1.0,0.857,85.0,Thursday,1,False,4.6
2013-02-01,1.0,0.821,114.0,Friday,2,False,
2013-02-02,0.0,0.714,85.0,Saturday,2,False,1.6
2013-02-03,1.0,0.607,94.0,Sunday,2,False,2.8
2013-02-04,2.0,0.714,98.0,Monday,2,False,2.0
2013-02-05,2.0,0.75,109.0,Tuesday,2,False,3.7
2013-02-06,0.0,,85.0,Wednesday,2,False,3.9
2013-02-07,0.0,0.821,78.0,Thursday,2,False,2.0
2013-02-08,0.0,0.786,78.0,Friday,2,False,4.3
2013-02-09,1.0,0.714,108.0,Saturday,2,False,4.7
2013-02-10,0.0,,97.0,Sunday,2,False,4.9
2013-02-11,0.0,0.536,86.0,Monday,2,False,1.9
2013-02-12,2.0,0.536,104.0,Tuesday,2,False,5.1
2013-02-13,1.0,0.571,111.0,Wednesday,2,False,6.4
2013-02-14,3.0,0.607,119.0,Thursday,2,False,7.0
2013-02-15,0.0,0.5,85.0,Friday,2,False,5.6
2013-02-16,0.0,0.393,100.0,Saturday,2,False,7.3
2013-02-17,5.0,0.571,131.0,Sunday,2,False,3.5
2013-02-18,1.0,0.607,79.0,Monday,2,False,5.4
2013-02-19,2.0,0.679,94.0,Tuesday,2,False,0.8
2013-02-20,1.0,0.714,88.0,Wednesday,2,False,3.4
2013-02-21,3.0,0.75,109.0,Thursday,2,False,4.8
2013-02-22,0.0,0.821,59.0,Friday,2,False,
2013-02-23,0.0,0.821,90.0,Saturday,2,False,3.6
2013-02-24,2.0,0.786,107.0,Sunday,2,False,5.3
2013-02-25,4.0,0.857,125.0,Monday,2,False,6.9
2013-02-26,1.0,0.893,96.0,Tuesday,2,False,3.2
2013-02-27,1.0,0.893,109.0,Wednesday,2,False,7.1
2013-02-28,3.0,1.036,90.0,Thursday,2,False,5.5
2013-03-01,5.0,1.214,103.0,Friday,3,False,1.2
2013-03-02,1.0,1.071,96.0,Saturday,3,False,5.2
2013-03-03,1.0,1.036,68.0,Sunday,3,False,1.1
2013-03-04,2.0,1.036,98.0,Monday,3,False,5.4
2013-03-05,1.0,0.929,96.0,Tuesday,3,False,3.5
2013-03-06,2.0,0.893,107.0,Wednesday,3,False,4.2
2013-03-07,0.0,0.893,,Thursday,3,False,3.7
2013-03-08,,0.821,84.0,Friday,3,False,4.1
2013-03-09,1.0,0.786,96.0,Saturday,3,False,5.0
2013-03-10,2.0,0.786,85.0,Sunday,3,False,
2013-03-11,2.0,0.821,111.0,Monday,3,False,6.2
2013-03-12,1.0,0.714,86.0,Tuesday,3,False,0.8
2013-03-13,0.0,0.607,58.0,Wednesday,3,False,1.9
